date,open,high,low,close,volume,<VOL>,<SPREAD>,candle_type,body_ratio
2018-04-16,1.23258,1.23936,1.23238,1.23797,24490,0,0,decisive,0.7722063037249307
2018-04-17,1.23804,1.24136,1.23364,1.23702,25164,0,0,base,0.1321243523316098
2018-04-18,1.23705,1.23749,1.23669,1.23718,1213,0,0,base,0.16249999999997225
2018-04-19,1.23811,1.24001,1.23289,1.23448,46779,0,0,decisive,0.5098314606741593
2018-04-20,1.23455,1.23526,1.22658,1.22668,31045,0,0,explosive,0.9066820276497725
2018-04-25,1.2171,1.21893,1.2161,1.21611,7810,0,2,base,0.3498233215547731
2018-04-26,1.21624,1.22095,1.20963,1.21031,29458,0,2,decisive,0.5238515901060065
2018-04-27,1.21031,1.21326,1.20553,1.21292,27863,0,2,base,0.33764553686933974
2018-04-30,1.21241,1.21386,1.20645,1.20797,27264,0,2,decisive,0.5991902834008164
2018-05-01,1.20757,1.20841,1.19811,1.19923,27034,0,2,explosive,0.8097087378640809
2018-05-02,1.19923,1.20315,1.19378,1.19505,32894,0,2,base,0.44610458911420775
2018-05-03,1.19506,1.20086,1.19476,1.19878,27315,0,2,decisive,0.6098360655737621
2018-05-04,1.19878,1.19953,1.19113,1.19632,27428,0,2,base,0.29285714285713305
2018-05-07,1.1955,1.19778,1.18977,1.19235,24569,0,2,base,0.3932584269662868
2018-05-08,1.19235,1.19385,1.18385,1.18661,29401,0,2,decisive,0.5740000000000073
2018-05-09,1.18661,1.18967,1.18225,1.18519,28639,0,2,base,0.19137466307277362
2018-05-10,1.18519,1.19463,1.18428,1.19154,31934,0,2,decisive,0.6135265700483119
2018-05-11,1.19139,1.19678,1.18913,1.19398,27641,0,2,base,0.3385620915032829
2018-05-14,1.19402,1.1996,1.19265,1.19269,27356,0,2,base,0.1913669064748275
2018-05-15,1.19238,1.19384,1.18205,1.1839,31454,0,2,decisive,0.7192536047497936
2018-05-16,1.18401,1.18539,1.17635,1.18073,33052,0,2,base,0.3628318584070766
2018-05-17,1.18073,1.18373,1.17767,1.17947,30673,0,2,base,0.2079207920792159
2018-05-18,1.1794,1.18219,1.17499,1.17696,27000,0,2,base,0.3388888888888841
2018-05-21,1.1771,1.17953,1.17165,1.17909,27184,0,2,base,0.25253807106598536
2018-05-22,1.17885,1.18295,1.17564,1.17773,29226,0,2,base,0.1532147742818086
2018-05-23,1.17791,1.17896,1.16758,1.1697,33880,0,2,decisive,0.7214411247803242
2018-05-24,1.1698,1.175,1.16907,1.17208,31984,0,2,base,0.3844856661045638
2018-05-25,1.17208,1.17333,1.16458,1.16513,57473,0,0,decisive,0.7942857142857124
2018-05-28,1.16818,1.17283,1.16075,1.16249,28000,0,0,base,0.4710264900662194
2018-05-29,1.16249,1.16394,1.15099,1.1534,52918,0,0,decisive,0.7019305019305043
2018-05-30,1.15365,1.16754,1.15185,1.16693,54101,0,0,explosive,0.8463989802421908
2018-05-31,1.16642,1.17241,1.16414,1.1696,49656,0,0,base,0.38452237001208717
2018-06-01,1.169,1.17175,1.16174,1.16605,45123,0,0,base,0.29470529470529333
2018-06-04,1.1659,1.17444,1.16581,1.16953,41220,0,0,base,0.4206257242178514
2018-06-05,1.16953,1.1732,1.16524,1.17154,47560,0,0,base,0.25251256281407986
2018-06-06,1.1713,1.17956,1.17126,1.17744,43099,0,0,decisive,0.7397590361445847
2018-06-07,1.17744,1.18398,1.17726,1.17964,45237,0,0,base,0.3273809523809465
2018-06-08,1.17998,1.18102,1.17272,1.17706,43214,0,0,base,0.3518072289156678
2018-06-11,1.17733,1.18205,1.1771,1.17849,37131,0,0,base,0.23434343434344396
2018-06-12,1.17836,1.18089,1.17334,1.17451,43655,0,0,decisive,0.5099337748344581
2018-06-13,1.17451,1.18008,1.17259,1.17913,40805,0,0,decisive,0.6168224299065515
2018-06-14,1.17873,1.18513,1.15747,1.15763,44972,0,0,decisive,0.7628344179320357
2018-06-15,1.15763,1.16269,1.15432,1.16065,41511,0,0,base,0.36081242532855756
2018-06-18,1.15869,1.16241,1.15652,1.16235,36431,0,0,decisive,0.621392190152806
2018-06-19,1.16212,1.16445,1.15309,1.15887,49206,0,0,base,0.2860915492957715
2018-06-20,1.15886,1.15998,1.1537,1.15772,43390,0,0,base,0.18152866242036741
2018-06-21,1.15744,1.16331,1.15086,1.16048,49494,0,0,base,0.24417670682730233
2018-06-22,1.16048,1.1675,1.16001,1.16578,129285,0,0,decisive,0.7076101468624947
2018-06-25,1.16639,1.1713,1.16285,1.17009,119415,0,0,base,0.4378698224852079
2018-06-26,1.17018,1.17201,1.16348,1.16462,123475,0,0,decisive,0.651817116060968
2018-06-27,1.16451,1.1672,1.15406,1.15557,127236,0,0,decisive,0.6803652968036527
2018-06-28,1.15557,1.16004,1.1527,1.15683,124971,0,0,base,0.17166212534060704
2018-06-29,1.15668,1.16903,1.1558,1.16825,133734,0,0,explosive,0.8745275888133042
2018-07-02,1.16832,1.16849,1.15911,1.16387,97661,0,0,base,0.4744136460554469
2018-07-03,1.16381,1.1673,1.16203,1.16588,94702,0,0,base,0.3927893738140368
2018-07-04,1.16588,1.16815,1.16304,1.16563,77323,0,0,base,0.0489236790606822
2018-07-05,1.16561,1.172,1.16498,1.16917,103977,0,0,decisive,0.5071225071225063
2018-07-06,1.16917,1.17676,1.16799,1.17415,91172,0,0,decisive,0.5678449258836963
2018-07-09,1.17383,1.17906,1.17325,1.17503,89551,0,0,base,0.2065404475043151
2018-07-10,1.17527,1.17625,1.16905,1.17453,85944,0,0,base,0.10277777777777126
2018-07-11,1.17398,1.1758,1.16652,1.16758,119159,0,0,decisive,0.6896551724137923
2018-07-12,1.16729,1.16954,1.16494,1.16706,100277,0,0,base,0.049999999999990344
2018-07-13,1.16696,1.16866,1.16128,1.16859,97834,0,0,base,0.2208672086720912
2018-07-16,1.16801,1.17252,1.16755,1.17117,83959,0,0,decisive,0.6358148893360369
2018-07-17,1.17117,1.17445,1.16502,1.16614,92755,0,0,decisive,0.5334040296924776
2018-07-18,1.16595,1.16648,1.16019,1.16429,96980,0,0,base,0.26391096979332584
2018-07-19,1.16429,1.16781,1.15749,1.16421,111738,0,0,base,0.007751937984503797
2018-07-20,1.16421,1.17387,1.1626,1.17208,116146,0,0,decisive,0.698314108252007
2018-07-23,1.17272,1.17497,1.16835,1.16912,36752,0,0,decisive,0.5438066465256812
2018-07-24,1.16913,1.17167,1.16544,1.16822,38314,0,0,base,0.14606741573033266
